Claim_ID,Claimant_Type,Damage_Category,Status,Requested_Amount,Approved_Amount,Assigned_Counsel,Filing_Date,Resolution_Date
CLM-10049,Business,Business Interruption,Under Review,62400.88,,Smith & Associates,2024-01-11,
CLM-10050,Individual,Relocation Expenses,Rejected,70021.5,0.0,Patel Law Group,2024-12-22,2025-01-23
CLM-10051,Individual,Property Damage,Under Review,76614.59,,Smith & Associates,2023-04-01,
CLM-10052,Individual,Lost Agricultural Income,Approved,109536.29,89492.91,Chen Defenders,2025-10-03,2025-10-30
CLM-10053,Individual,Relocation Expenses,Under Review,43454.34,,Rivera & Co,2023-12-03,
CLM-10054,Municipality,Structural Damage,Rejected,4537879.52,0.0,Rivera & Co,2024-02-21,2024-12-05
CLM-10055,Individual,Relocation Expenses,Disbursed,55761.37,48376.87,Rivera & Co,2023-01-16,2023-09-11
CLM-10056,Business,Business Interruption,Disbursed,1273023.78,1155169.28,Patel Law Group,2025-05-17,2026-02-16
CLM-10057,Individual,Relocation Expenses,Rejected,143319.64,0.0,Patel Law Group,2023-08-24,2025-07-05
CLM-10058,Individual,Property Damage,Approved,143195.42,117578.62,Rivera & Co,2024-08-09,2025-07-23
CLM-10059,Individual,Property Damage,Approved,15925.21,10771.25,Chen Defenders,2025-06-25,2025-12-10
CLM-10060,Individual,Lost Agricultural Income,Disbursed,29576.45,28821.12,Patel Law Group,2023-02-14,2025-09-20
CLM-10061,Individual,Relocation Expenses,Disbursed,19090.59,19014.64,Chen Defenders,2025-06-28,2025-09-19
CLM-10062,Individual,Lost Agricultural Income,Approved,47817.14,44922.67,Rivera & Co,2023-04-17,2025-10-21
CLM-10063,Individual,Relocation Expenses,Under Review,57126.22,,Patel Law Group,2025-06-04,
CLM-10064,Business,Property Damage,Disbursed,677707.01,428742.99,Rivera & Co,2024-07-11,2025-07-12
CLM-10065,Individual,Property Damage,Under Review,33169.72,,Rivera & Co,2025-11-15,
CLM-10066,Individual,Relocation Expenses,Approved,134050.77,100569.34,Smith & Associates,2024-12-10,2025-01-02
CLM-10067,Individual,Lost Agricultural Income,Approved,102443.79,67819.49,Smith & Associates,2024-01-12,2024-03-06
CLM-10068,Municipality,Structural Damage,Rejected,8550401.52,0.0,Chen Defenders,2024-08-03,2025-10-05
CLM-10069,Individual,Relocation Expenses,Approved,124277.08,80882.53,Patel Law Group,2024-03-22,2024-04-22
CLM-10070,Individual,Property Damage,Rejected,44373.72,0.0,Smith & Associates,2024-01-22,2024-05-15
CLM-10071,Individual,Relocation Expenses,Disbursed,12493.85,10198.16,Smith & Associates,2025-01-08,2025-12-19
CLM-10072,Individual,Property Damage,Disbursed,145582.85,89741.2,Chen Defenders,2024-04-13,2025-03-14
CLM-10073,Individual,Lost Agricultural Income,Under Review,68650.86,,Smith & Associates,2023-05-08,
CLM-10074,Individual,Property Damage,Approved,16726.58,14642.45,Patel Law Group,2024-01-01,2025-07-08
CLM-10075,Individual,Relocation Expenses,Under Review,27683.37,,Patel Law Group,2024-01-27,
CLM-10076,Individual,Property Damage,Under Review,100728.62,,Patel Law Group,2025-08-05,
CLM-10077,Municipality,Structural Damage,Disbursed,7641072.25,6454324.32,Smith & Associates,2023-04-27,2025-07-24
CLM-10078,Individual,Relocation Expenses,Disbursed,56616.04,34295.58,Patel Law Group,2023-12-08,2024-05-05
CLM-10079,Individual,Property Damage,Approved,18652.76,18499.89,Rivera & Co,2025-07-18,2025-11-10
CLM-10080,Individual,Relocation Expenses,Disbursed,115687.84,85437.98,Rivera & Co,2023-07-02,2024-04-24
CLM-10081,Individual,Property Damage,Disbursed,62783.19,53619.2,Patel Law Group,2025-01-04,2026-02-02
CLM-10082,Individual,Lost Agricultural Income,Rejected,7219.16,0.0,Gomez Legal,2024-03-15,2025-05-09
CLM-10083,Individual,Property Damage,Disbursed,104174.75,101836.72,Chen Defenders,2025-08-23,2026-01-07
CLM-10084,Business,Property Damage,Disbursed,2012325.77,1668915.97,Patel Law Group,2023-01-24,2023-11-13
CLM-10085,Individual,Property Damage,Rejected,84114.43,0.0,Rivera & Co,2025-02-28,2025-11-28
CLM-10086,Individual,Property Damage,Under Review,99465.29,,Gomez Legal,2024-07-23,
CLM-10087,Individual,Lost Agricultural Income,Under Review,59702.57,,Rivera & Co,2024-04-20,
CLM-10088,Individual,Lost Agricultural Income,Approved,15322.35,14371.6,Chen Defenders,2025-08-05,2026-02-14
CLM-10089,Individual,Relocation Expenses,Approved,42800.71,37542.91,Chen Defenders,2023-11-11,2024-05-01
CLM-10090,Individual,Lost Agricultural Income,Disbursed,132233.44,121838.88,Rivera & Co,2024-01-10,2026-01-14
CLM-10091,Individual,Relocation Expenses,Disbursed,66403.29,55139.29,Patel Law Group,2025-07-12,2025-09-29
CLM-10092,Business,Structural Damage,Disbursed,662540.3,627324.06,Rivera & Co,2023-03-31,2025-07-13
CLM-10093,Individual,Property Damage,Disbursed,103577.49,72016.86,Smith & Associates,2024-06-17,2024-08-10
CLM-10094,Individual,Property Damage,Disbursed,78261.59,56975.99,Chen Defenders,2024-04-07,2024-12-09
CLM-10095,Business,Business Interruption,Rejected,181038.98,0.0,Patel Law Group,2024-11-23,2026-02-17
CLM-10096,Business,Business Interruption,Rejected,832318.41,0.0,Patel Law Group,2024-05-04,2025-03-23
CLM-10097,Municipality,Structural Damage,Disbursed,6160940.99,4801703.15,Smith & Associates,2023-01-13,2023-08-14
CLM-10098,Individual,Property Damage,Under Review,85286.94,,Patel Law Group,2023-04-21,
CLM-10099,Business,Business Interruption,Rejected,327988.27,0.0,Smith & Associates,2024-03-29,2025-04-14
CLM-10100,Municipality,Structural Damage,Under Review,9963381.18,,Chen Defenders,2025-05-22,
CLM-10101,Business,Business Interruption,Under Review,909741.78,,Rivera & Co,2024-01-23,
CLM-10102,Individual,Relocation Expenses,Rejected,126359.76,0.0,Chen Defenders,2023-05-06,2024-06-02
CLM-10103,Business,Structural Damage,Under Review,1767374.37,,Gomez Legal,2024-10-13,
CLM-10104,Business,Structural Damage,Disbursed,409181.81,283682.16,Smith & Associates,2023-08-24,2023-09-10
CLM-10105,Individual,Property Damage,Disbursed,58743.11,57503.6,Patel Law Group,2023-07-21,2025-09-15
CLM-10106,Municipality,Structural Damage,Approved,7780403.67,4928109.92,Smith & Associates,2024-01-23,2025-02-16
CLM-10107,Business,Structural Damage,Under Review,1777456.69,,Rivera & Co,2025-01-30,
CLM-10108,Individual,Relocation Expenses,Under Review,76430.64,,Rivera & Co,2024-05-09,
CLM-10109,Individual,Relocation Expenses,Disbursed,112441.21,104470.94,Patel Law Group,2025-12-18,2025-12-25
CLM-10110,Business,Property Damage,Rejected,1479253.47,0.0,Chen Defenders,2024-07-12,2025-04-20
CLM-10111,Individual,Property Damage,Disbursed,17019.24,13181.99,Patel Law Group,2023-05-17,2025-01-27
CLM-10112,Business,Business Interruption,Under Review,2426203.13,,Rivera & Co,2025-12-12,
CLM-10113,Business,Structural Damage,Rejected,2315376.16,0.0,Patel Law Group,2025-12-13,2026-01-20
CLM-10114,Individual,Lost Agricultural Income,Disbursed,145548.87,123972.63,Chen Defenders,2024-02-18,2025-09-04
CLM-10115,Individual,Lost Agricultural Income,Disbursed,149395.55,112596.55,Patel Law Group,2025-02-25,2026-02-06
CLM-10116,Business,Property Damage,Rejected,738359.81,0.0,Chen Defenders,2024-04-16,2024-09-06
CLM-10117,Business,Business Interruption,Under Review,729583.9,,Smith & Associates,2025-07-26,
CLM-10118,Individual,Relocation Expenses,Under Review,38262.24,,Patel Law Group,2025-04-21,
CLM-10119,Individual,Lost Agricultural Income,Disbursed,106233.45,76892.94,Gomez Legal,2024-12-15,2025-10-23
CLM-10120,Business,Business Interruption,Under Review,376303.56,,Smith & Associates,2024-01-12,
CLM-10121,Business,Property Damage,Disbursed,1828012.8,1402629.13,Rivera & Co,2023-02-23,2024-08-24
CLM-10122,Business,Structural Damage,Under Review,1401390.29,,Gomez Legal,2024-11-06,
CLM-10123,Individual,Relocation Expenses,Rejected,122530.23,0.0,Patel Law Group,2023-12-31,2024-05-11
CLM-10124,Individual,Property Damage,Approved,113688.85,105920.0,Rivera & Co,2024-11-28,2025-09-13
CLM-10125,Individual,Property Damage,Approved,72960.51,51755.47,Patel Law Group,2025-12-23,2026-02-07
CLM-10126,Individual,Relocation Expenses,Disbursed,105298.59,94764.97,Gomez Legal,2025-08-25,2026-01-04
CLM-10127,Business,Property Damage,Rejected,1934019.17,0.0,Patel Law Group,2023-07-27,2024-07-05
CLM-10128,Business,Business Interruption,Under Review,640657.84,,Smith & Associates,2025-04-16,
CLM-10129,Individual,Property Damage,Under Review,92895.32,,Rivera & Co,2023-04-28,
CLM-10130,Individual,Relocation Expenses,Under Review,56933.59,,Rivera & Co,2025-06-23,
CLM-10131,Individual,Relocation Expenses,Disbursed,74050.55,53546.76,Rivera & Co,2025-05-14,2026-02-15
CLM-10132,Business,Business Interruption,Disbursed,266600.15,222873.02,Patel Law Group,2025-01-16,2025-12-26
CLM-10133,Individual,Lost Agricultural Income,Disbursed,114494.9,100942.36,Smith & Associates,2025-06-13,2025-11-21
CLM-10134,Individual,Relocation Expenses,Rejected,94503.24,0.0,Patel Law Group,2025-03-18,2025-10-20
CLM-10135,Individual,Relocation Expenses,Approved,61875.39,59503.3,Patel Law Group,2025-11-05,2026-01-20
CLM-10136,Individual,Relocation Expenses,Rejected,70382.01,0.0,Gomez Legal,2023-04-28,2024-09-03
CLM-10137,Individual,Relocation Expenses,Rejected,130042.74,0.0,Gomez Legal,2025-03-30,2025-05-04
CLM-10138,Individual,Property Damage,Under Review,76356.86,,Smith & Associates,2025-11-17,
CLM-10139,Individual,Relocation Expenses,Approved,95016.82,64958.47,Gomez Legal,2024-04-30,2025-10-14
CLM-10140,Individual,Lost Agricultural Income,Under Review,16000.18,,Smith & Associates,2025-02-07,
CLM-10141,Individual,Lost Agricultural Income,Disbursed,63043.57,42366.98,Rivera & Co,2025-04-01,2025-08-18
CLM-10142,Individual,Property Damage,Approved,135034.32,117077.87,Patel Law Group,2025-08-26,2025-09-24
CLM-10143,Individual,Relocation Expenses,Disbursed,37458.11,27645.32,Patel Law Group,2025-06-01,2025-09-24
CLM-10144,Individual,Relocation Expenses,Under Review,17861.87,,Gomez Legal,2024-03-26,
CLM-10145,Individual,Relocation Expenses,Under Review,134661.5,,Gomez Legal,2025-06-09,
CLM-10146,Individual,Lost Agricultural Income,Disbursed,10700.26,9107.63,Smith & Associates,2023-11-15,2025-04-15
CLM-10147,Individual,Relocation Expenses,Approved,27761.76,16685.87,Smith & Associates,2023-08-09,2025-06-11
CLM-10148,Business,Business Interruption,Rejected,1513331.3,0.0,Chen Defenders,2023-01-10,2025-12-21
CLM-10149,Individual,Relocation Expenses,Disbursed,39236.9,31880.23,Gomez Legal,2023-10-09,2024-10-31
CLM-10150,Business,Structural Damage,Under Review,139873.85,,Chen Defenders,2024-02-16,
CLM-10151,Business,Property Damage,Disbursed,2118879.65,1297154.52,Chen Defenders,2025-08-06,2025-08-07
CLM-10152,Business,Structural Damage,Under Review,1354912.3,,Gomez Legal,2024-05-02,
CLM-10153,Individual,Property Damage,Disbursed,31431.16,29428.49,Gomez Legal,2025-06-22,2026-01-20
CLM-10154,Individual,Relocation Expenses,Rejected,22365.51,0.0,Smith & Associates,2024-01-01,2025-06-16
CLM-10155,Individual,Relocation Expenses,Approved,119429.83,75810.25,Smith & Associates,2024-07-12,2024-10-15
CLM-10156,Individual,Relocation Expenses,Disbursed,85872.63,70912.19,Gomez Legal,2023-05-19,2023-11-20
CLM-10157,Individual,Property Damage,Disbursed,57646.93,47749.6,Chen Defenders,2025-07-03,2025-07-23
CLM-10158,Individual,Property Damage,Rejected,52900.53,0.0,Patel Law Group,2024-03-24,2025-02-07
CLM-10159,Individual,Property Damage,Under Review,27164.58,,Rivera & Co,2025-01-17,
CLM-10160,Individual,Lost Agricultural Income,Disbursed,17743.71,11041.23,Chen Defenders,2024-07-29,2025-07-17
CLM-10161,Business,Property Damage,Approved,1335052.9,1325642.71,Rivera & Co,2024-12-12,2025-03-07
CLM-10162,Individual,Relocation Expenses,Rejected,88519.77,0.0,Gomez Legal,2023-01-02,2024-10-05
CLM-10163,Individual,Relocation Expenses,Under Review,42395.91,,Smith & Associates,2023-09-08,
CLM-10164,Individual,Property Damage,Disbursed,109176.3,86320.0,Rivera & Co,2025-09-23,2026-02-06
CLM-10165,Business,Business Interruption,Approved,508257.18,391446.76,Chen Defenders,2023-03-22,2025-05-23
CLM-10166,Individual,Property Damage,Disbursed,81826.8,74226.06,Patel Law Group,2025-03-07,2025-08-28
CLM-10167,Individual,Relocation Expenses,Approved,27382.59,22263.03,Rivera & Co,2023-06-16,2024-02-04
CLM-10168,Individual,Relocation Expenses,Disbursed,70868.86,58081.91,Rivera & Co,2023-02-22,2023-08-03
CLM-10169,Individual,Relocation Expenses,Under Review,17740.88,,Rivera & Co,2023-09-09,
CLM-10170,Individual,Property Damage,Approved,91367.62,69872.14,Chen Defenders,2023-09-19,2024-02-09
CLM-10171,Individual,Property Damage,Disbursed,128355.48,97987.51,Chen Defenders,2023-09-12,2025-07-30
CLM-10172,Business,Property Damage,Under Review,2348934.12,,Patel Law Group,2023-12-01,
CLM-10173,Individual,Relocation Expenses,Disbursed,11973.72,11149.64,Chen Defenders,2025-09-10,2025-11-13
CLM-10174,Business,Structural Damage,Under Review,2071575.06,,Chen Defenders,2025-12-08,
CLM-10175,Individual,Relocation Expenses,Approved,80844.49,76873.43,Gomez Legal,2023-11-17,2024-07-09
CLM-10176,Individual,Lost Agricultural Income,Rejected,108498.46,0.0,Gomez Legal,2025-09-26,2025-11-08
CLM-10177,Individual,Property Damage,Disbursed,113403.36,78575.5,Smith & Associates,2023-10-19,2026-01-07
CLM-10178,Business,Property Damage,Under Review,1353050.83,,Chen Defenders,2024-06-20,
CLM-10179,Individual,Lost Agricultural Income,Rejected,21950.22,0.0,Patel Law Group,2025-02-20,2025-05-16
CLM-10180,Individual,Relocation Expenses,Disbursed,25194.45,21365.63,Chen Defenders,2023-01-12,2025-04-11
CLM-10181,Individual,Lost Agricultural Income,Rejected,88106.87,0.0,Gomez Legal,2023-01-21,2024-03-14
CLM-10182,Business,Business Interruption,Disbursed,658798.39,404115.48,Smith & Associates,2024-05-13,2025-09-16
CLM-10183,Individual,Relocation Expenses,Disbursed,76627.32,49130.86,Chen Defenders,2024-03-14,2024-11-04
CLM-10184,Individual,Lost Agricultural Income,Under Review,127735.58,,Gomez Legal,2024-12-02,
CLM-10185,Individual,Property Damage,Approved,83279.79,63590.95,Patel Law Group,2023-06-07,2025-06-03
CLM-10186,Business,Property Damage,Disbursed,1620811.7,1324348.67,Gomez Legal,2025-06-18,2025-10-15
CLM-10187,Individual,Property Damage,Rejected,124885.83,0.0,Gomez Legal,2024-11-19,2025-05-10
CLM-10188,Individual,Relocation Expenses,Approved,63123.46,61792.4,Smith & Associates,2025-03-20,2025-12-11
CLM-10189,Individual,Property Damage,Under Review,25171.85,,Smith & Associates,2025-11-06,
CLM-10190,Individual,Lost Agricultural Income,Disbursed,140157.15,123150.53,Gomez Legal,2024-09-05,2025-05-20
CLM-10191,Business,Property Damage,Disbursed,423720.66,357063.48,Gomez Legal,2024-01-02,2025-01-05
CLM-10192,Individual,Property Damage,Disbursed,20115.81,19397.16,Rivera & Co,2024-08-23,2024-10-17
CLM-10193,Individual,Property Damage,Disbursed,147801.97,96051.34,Patel Law Group,2025-12-25,2026-02-09
CLM-10194,Business,Property Damage,Under Review,813038.45,,Patel Law Group,2025-09-12,
CLM-10195,Individual,Lost Agricultural Income,Approved,12940.44,11919.97,Gomez Legal,2024-03-23,2024-04-16
CLM-10196,Individual,Property Damage,Approved,21568.76,20391.26,Smith & Associates,2024-10-09,2025-11-22
CLM-10197,Business,Property Damage,Disbursed,900035.34,702826.06,Chen Defenders,2023-07-29,2024-09-06
CLM-10198,Individual,Lost Agricultural Income,Under Review,25424.27,,Gomez Legal,2023-07-16,
CLM-10199,Individual,Relocation Expenses,Approved,9912.48,9042.15,Rivera & Co,2023-02-12,2023-08-13
CLM-10200,Individual,Relocation Expenses,Disbursed,6898.7,4630.51,Gomez Legal,2023-10-20,2024-10-16
CLM-10201,Municipality,Structural Damage,Approved,2337964.55,1482596.53,Chen Defenders,2025-09-27,2025-12-16
CLM-10202,Municipality,Structural Damage,Disbursed,5519755.09,3459951.34,Smith & Associates,2024-04-01,2024-06-13
CLM-10203,Business,Property Damage,Approved,2009465.95,1582037.94,Patel Law Group,2025-11-12,2025-12-30
CLM-10204,Individual,Property Damage,Disbursed,73449.71,46000.34,Chen Defenders,2024-09-20,2026-01-26
CLM-10205,Business,Property Damage,Disbursed,1342736.94,1064031.99,Smith & Associates,2025-02-25,2025-04-28
CLM-10206,Individual,Lost Agricultural Income,Under Review,27509.84,,Rivera & Co,2025-05-29,
CLM-10207,Business,Property Damage,Under Review,1895453.24,,Patel Law Group,2025-08-24,
CLM-10208,Business,Structural Damage,Under Review,1051398.72,,Rivera & Co,2024-02-18,
CLM-10209,Individual,Relocation Expenses,Approved,130714.1,107275.63,Patel Law Group,2024-07-11,2024-09-18
CLM-10210,Individual,Lost Agricultural Income,Under Review,102424.45,,Rivera & Co,2024-11-19,
CLM-10211,Individual,Lost Agricultural Income,Rejected,87569.31,0.0,Chen Defenders,2024-01-01,2024-07-09
CLM-10212,Individual,Relocation Expenses,Rejected,121770.67,0.0,Smith & Associates,2023-08-05,2024-10-15
CLM-10213,Individual,Relocation Expenses,Approved,125381.88,108735.44,Gomez Legal,2024-01-18,2025-07-01
CLM-10214,Individual,Lost Agricultural Income,Under Review,51978.56,,Rivera & Co,2023-08-17,
CLM-10215,Individual,Property Damage,Under Review,35143.51,,Smith & Associates,2024-04-18,
CLM-10216,Individual,Property Damage,Rejected,66106.56,0.0,Smith & Associates,2023-04-15,2024-12-10
CLM-10217,Business,Property Damage,Approved,685587.41,573231.96,Chen Defenders,2023-01-03,2023-04-08
CLM-10218,Individual,Property Damage,Disbursed,55052.86,41020.06,Chen Defenders,2023-07-29,2024-06-13
CLM-10219,Business,Property Damage,Disbursed,2373710.6,1557261.61,Rivera & Co,2025-02-12,2025-05-02
CLM-10220,Business,Property Damage,Disbursed,2241652.96,1726264.22,Gomez Legal,2025-03-15,2025-07-03
CLM-10221,Individual,Relocation Expenses,Disbursed,112544.61,85648.7,Smith & Associates,2025-12-25,2026-02-10
CLM-10222,Individual,Relocation Expenses,Rejected,126064.88,0.0,Patel Law Group,2024-07-08,2024-12-24
CLM-10223,Individual,Property Damage,Disbursed,105227.17,97759.57,Rivera & Co,2024-04-12,2025-02-11
CLM-10224,Individual,Relocation Expenses,Under Review,88594.89,,Chen Defenders,2025-01-01,
CLM-10225,Individual,Property Damage,Disbursed,77132.41,49567.72,Chen Defenders,2023-07-27,2025-11-14
CLM-10226,Individual,Lost Agricultural Income,Rejected,135502.7,0.0,Patel Law Group,2023-05-15,2024-01-27
CLM-10227,Individual,Property Damage,Under Review,101430.32,,Smith & Associates,2025-09-07,
CLM-10228,Business,Structural Damage,Disbursed,1040734.68,800131.83,Rivera & Co,2025-02-25,2025-12-22
CLM-10229,Individual,Relocation Expenses,Under Review,112014.87,,Patel Law Group,2024-07-14,
CLM-10230,Individual,Relocation Expenses,Disbursed,14896.21,11542.74,Smith & Associates,2024-07-13,2024-10-21
CLM-10231,Business,Property Damage,Disbursed,777948.2,614905.94,Gomez Legal,2023-03-24,2024-01-17
CLM-10232,Individual,Relocation Expenses,Approved,24575.19,17398.36,Gomez Legal,2024-05-15,2025-04-19
CLM-10233,Individual,Lost Agricultural Income,Under Review,91286.3,,Chen Defenders,2023-04-08,
CLM-10234,Individual,Property Damage,Disbursed,27427.46,21659.33,Smith & Associates,2024-10-20,2025-03-18
CLM-10235,Individual,Property Damage,Disbursed,64855.06,54433.79,Rivera & Co,2023-02-02,2024-10-18
CLM-10236,Individual,Lost Agricultural Income,Disbursed,123769.84,108654.89,Rivera & Co,2025-10-12,2025-11-20
CLM-10237,Individual,Relocation Expenses,Approved,19948.59,18411.99,Rivera & Co,2024-12-11,2025-03-19
CLM-10238,Municipality,Structural Damage,Disbursed,8110122.03,6557198.03,Gomez Legal,2023-12-13,2025-09-03
CLM-10239,Individual,Lost Agricultural Income,Disbursed,111172.61,95999.03,Patel Law Group,2024-08-04,2025-08-28
CLM-10240,Individual,Relocation Expenses,Rejected,147183.64,0.0,Smith & Associates,2024-12-14,2025-05-27
CLM-10241,Individual,Lost Agricultural Income,Rejected,148211.86,0.0,Smith & Associates,2025-12-28,2026-01-19
CLM-10242,Individual,Relocation Expenses,Rejected,90298.24,0.0,Gomez Legal,2024-09-21,2025-10-11
CLM-10243,Individual,Relocation Expenses,Under Review,137745.8,,Patel Law Group,2025-07-08,
CLM-10244,Individual,Property Damage,Under Review,32926.86,,Chen Defenders,2024-05-16,
CLM-10245,Individual,Property Damage,Rejected,73761.06,0.0,Gomez Legal,2024-06-06,2024-11-06
CLM-10246,Business,Structural Damage,Disbursed,1329964.71,1143858.68,Gomez Legal,2023-01-29,2025-12-10
CLM-10247,Individual,Property Damage,Disbursed,16158.21,11891.63,Rivera & Co,2023-06-20,2024-11-17
CLM-10248,Business,Property Damage,Disbursed,822461.33,753612.49,Smith & Associates,2023-07-09,2023-09-10
CLM-10249,Individual,Relocation Expenses,Approved,80424.38,76456.74,Rivera & Co,2024-03-22,2025-05-23
CLM-10250,Individual,Lost Agricultural Income,Under Review,131164.34,,Patel Law Group,2024-03-25,
CLM-10251,Business,Business Interruption,Rejected,990711.53,0.0,Chen Defenders,2024-01-15,2024-05-17
CLM-10252,Individual,Relocation Expenses,Disbursed,55853.21,42491.58,Smith & Associates,2025-12-28,2026-01-06
CLM-10253,Individual,Property Damage,Under Review,89209.8,,Chen Defenders,2024-12-01,
CLM-10254,Individual,Relocation Expenses,Approved,65576.18,58692.84,Gomez Legal,2023-07-02,2025-05-23
CLM-10255,Individual,Lost Agricultural Income,Under Review,72760.06,,Rivera & Co,2023-01-07,
CLM-10256,Business,Structural Damage,Under Review,622338.99,,Chen Defenders,2023-09-07,
CLM-10257,Individual,Relocation Expenses,Under Review,11539.6,,Patel Law Group,2024-05-18,
CLM-10258,Individual,Lost Agricultural Income,Disbursed,142744.37,90751.79,Chen Defenders,2025-01-24,2025-03-29
CLM-10259,Individual,Lost Agricultural Income,Approved,141986.14,120030.05,Smith & Associates,2023-07-01,2025-09-30
CLM-10260,Individual,Lost Agricultural Income,Disbursed,63229.13,43768.95,Gomez Legal,2023-08-12,2025-08-06
